Imgs;Steering
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_03_770.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_03_866.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_03_962.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_04_057.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_04_154.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_04_251.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_04_352.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_04_441.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_04_540.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_04_630.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_04_730.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_04_826.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_04_920.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_05_014.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_05_111.jpg;-0.25
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_05_210.jpg;-0.5000001
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_05_304.jpg;-0.7500002
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_05_401.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_05_500.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_05_593.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_05_717.jpg;0
