Imgs;Steering
C:\Users\Tune and Tones\Documents\traindata\IMG\center_2026_08_02_18_56_16_590.jpg;-0.45
C:\Users\Tune and Tones\Documents\traindata\IMG\center_2026_08_02_18_56_16_680.jpg;0
C:\Users\Tune and Tones\Documents\traindata\IMG\center_2026_08_02_18_56_16_763.jpg;0
C:\Users\Tune and Tones\Documents\traindata\IMG\center_2026_08_02_18_56_16_845.jpg;0
C:\Users\Tune and Tones\Documents\traindata\IMG\center_2026_08_02_18_56_16_930.jpg;0
C:\Users\Tune and Tones\Documents\traindata\IMG\center_2026_08_02_18_56_17_016.jpg;0
C:\Users\Tune and Tones\Documents\traindata\IMG\center_2026_08_02_18_56_17_099.jpg;-0.2
C:\Users\Tune and Tones\Documents\traindata\IMG\center_2026_08_02_18_56_17_185.jpg;-0.4
C:\Users\Tune and Tones\Documents\traindata\IMG\center_2026_08_02_18_56_17_271.jpg;-0.6000001
C:\Users\Tune and Tones\Documents\traindata\IMG\center_2026_08_02_18_56_17_357.jpg;-0.8500001
C:\Users\Tune and Tones\Documents\traindata\IMG\center_2026_08_02_18_56_17_446.jpg;-1
C:\Users\Tune and Tones\Documents\traindata\IMG\center_2026_08_02_18_56_17_528.jpg;-1
C:\Users\Tune and Tones\Documents\traindata\IMG\center_2026_08_02_18_56_17_616.jpg;0
C:\Users\Tune and Tones\Documents\traindata\IMG\center_2026_08_02_18_56_17_703.jpg;0
C:\Users\Tune and Tones\Documents\traindata\IMG\center_2026_08_02_18_56_17_789.jpg;0
C:\Users\Tune and Tones\Documents\traindata\IMG\center_2026_08_02_18_56_17_877.jpg;0
C:\Users\Tune and Tones\Documents\traindata\IMG\center_2026_08_02_18_56_17_964.jpg;0
C:\Users\Tune and Tones\Documents\traindata\IMG\center_2026_08_02_18_56_18_055.jpg;0
C:\Users\Tune and Tones\Documents\traindata\IMG\center_2026_08_02_18_56_18_141.jpg;0
C:\Users\Tune and Tones\Documents\traindata\IMG\center_2026_08_02_18_56_18_227.jpg;0
C:\Users\Tune and Tones\Documents\traindata\IMG\center_2026_08_02_18_56_18_318.jpg;0
C:\Users\Tune and Tones\Documents\traindata\IMG\center_2026_08_02_18_56_18_404.jpg;0
C:\Users\Tune and Tones\Documents\traindata\IMG\center_2026_08_02_18_56_18_495.jpg;0
C:\Users\Tune and Tones\Documents\traindata\IMG\center_2026_08_02_18_56_18_588.jpg;0
C:\Users\Tune and Tones\Documents\traindata\IMG\center_2026_08_02_18_56_18_674.jpg;0
C:\Users\Tune and Tones\Documents\traindata\IMG\center_2026_08_02_18_56_18_763.jpg;0
C:\Users\Tune and Tones\Documents\traindata\IMG\center_2026_08_02_18_56_18_853.jpg;-0.2
C:\Users\Tune and Tones\Documents\traindata\IMG\center_2026_08_02_18_56_18_942.jpg;-0.45
